2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - CryptonioBot v3.0 initialized with 8 trading pairs
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - ============================================================
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - CRYPTONIO BOT v3.0 - MULTI-CURRENCY MODE
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - ============================================================
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - Active pairs: ['BTCUSD', 'ETHUSD', 'SOLUSD', 'ADAUSD', 'DOTUSD', 'LINKUSD', 'MATICUSD', 'AVAXUSD']
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - Paper trading: True
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - Max positions: 3
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - Daily risk per pair: $10.0
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - Global daily risk: $50.0
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - ============================================================
2026-03-16 05:52:29,340 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 05:53:29,340 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 05:54:29,340 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 05:55:29,341 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 05:56:29,341 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 05:57:29,343 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 05:58:29,343 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 05:59:29,343 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:00:29,344 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:01:29,344 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:02:29,345 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:03:29,345 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:04:29,346 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:05:29,346 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:06:29,350 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:07:29,353 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:08:29,354 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:09:29,355 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:10:29,355 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:11:29,356 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:12:29,356 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:13:29,356 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:14:29,358 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:15:29,358 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:16:29,551 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:17:29,751 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:18:29,751 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:19:29,956 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:20:29,956 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:21:29,957 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:22:29,958 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:23:30,051 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:24:30,051 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:25:30,052 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:26:30,052 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:27:30,151 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:28:30,151 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:29:30,152 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:30:30,156 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:31:30,157 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:32:30,157 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:33:30,250 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:34:30,254 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:35:30,255 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:36:30,256 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:37:30,256 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:38:30,258 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:39:30,553 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:40:30,555 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:41:30,649 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:42:30,747 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:43:30,747 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
