Business Name,City,County,Phone,Address,Business Type,Source
CASA RAMOS MEXICAN RESTAURANT,RANCHO CORDOVA,Sacramento,,10717 WHITE ROCK RD,Mexican Restaurant,ABC License Data
CAVERNA 57 WINE VAULTS,SACRAMENTO,Sacramento,,836 57TH ST  STE 120,Food Service,ABC License Data
CELLAR WINE BAR THE,FOLSOM,Sacramento,,727 SUTTER ST,Bar,ABC License Data
CENTENIAL RANCH SPORTS BAR AND GRILL,ELK GROVE,Sacramento,,10408 FRANKLIN BLVD,Bar,ABC License Data
CENTRAL MARKET,WALNUT GROVE,Sacramento,,14174 STATE HIGHWAY 160,Food Service,ABC License Data
CENTRO COCINA MEXICANA,SACRAMENTO,Sacramento,,2730 J ST,Mexican Restaurant,ABC License Data
CF CHENG CHINESE CUISINE,SACRAMENTO,Sacramento,,2063 ARENA BLVD,Food Service,ABC License Data
CH CAFE & GRILL,CITRUS HEIGHTS,Sacramento,,6215 SUNRISE BLVD,Restaurant,ABC License Data
CHA THAI,RANCHO CORDOVA,Sacramento,,3225 ZINFANDEL DR,Asian Restaurant,ABC License Data
CHANDOS TACOS,SACRAMENTO,Sacramento,,5665 POWER INN RD 104,Mexican Restaurant,ABC License Data
CHANGS MONGOLIAN GRILL LLC,FOLSOM,Sacramento,,631 & 633 E BIDWELL,Food Service,ABC License Data
CHARLES FOOD MARKET,SACRAMENTO,Sacramento,,2684 18TH ST,Food Service,ABC License Data
CHARM THAI,SACRAMENTO,Sacramento,,711 56TH ST,Asian Restaurant,ABC License Data
CHASERS SPORTS BAR,SACRAMENTO,Sacramento,,5412 MADISON AVE,Bar,ABC License Data
CHASING CAROLINE RESTAURANT,SACRAMENTO,Sacramento,,925 3RD ST,Restaurant,ABC License Data
CHEEMA FOOD & LIQUOR,SACRAMENTO,Sacramento,,1530 AUBURN BLVD,Food Service,ABC License Data
CHEF FRANK JAPANESE CUISINE,SACRAMENTO,Sacramento,,2281 DEL PASO RD,Food Service,ABC License Data
CHERRY ISLAND GRILL,ELVERTA,Sacramento,,2360 ELVERTA RD,Food Service,ABC License Data
CHEZ LUC'S FRENCH CAFE,SACRAMENTO,Sacramento,,650 FULTON AVE,Restaurant,ABC License Data
CHHUN'S SUPERMARKET,SACRAMENTO,Sacramento,,6701 FRANKLIN BLVD,Food Service,ABC License Data
CHICAGO'S PIZZA WITH A TWIST,SACRAMENTO,Sacramento,,4391 GATEWAY PARK BLVD,Food Service,ABC License Data
CHICAGOS PIZZA WITH A TWIST,FOLSOM,Sacramento,,1750 PRAIRIE CITY RD,Food Service,ABC License Data
CHIDO RESTAURANT BAR,SACRAMENTO,Sacramento,,610 W EL CAMINO AVE,Bar,ABC License Data
CHIMA LIQUOR STORE,SACRAMENTO,Sacramento,,5049 FRANKLIN BLVD,Food Service,ABC License Data
CHOICE FOOD & LIQUOR,SACRAMENTO,Sacramento,,2103 P ST,Food Service,ABC License Data
CHRONICLE MARKET,SACRAMENTO,Sacramento,,5399 FRUITRIDGE RD,Food Service,ABC License Data
CHURCHILL ARMS PUB,FOLSOM,Sacramento,,649 E BIDWELL ST,Food Service,ABC License Data
CILANTROS RESTAURANT,SACRAMENTO,Sacramento,,705 J ST,Restaurant,ABC License Data
CINCH BAR THE,SACRAMENTO,Sacramento,,8003 FLORIN RD,Bar,ABC License Data
CIRCLE 6 FOOD STORE,SACRAMENTO,Sacramento,,739 ARDEN WY,Food Service,ABC License Data
CIRCLE 7 FOOD AND LIQUOR,SACRAMENTO,Sacramento,,7601 STOCKTON BLVD,Food Service,ABC License Data
CIRCLE K FOOD STORE 955,FOLSOM,Sacramento,,95 NATOMA ST,Food Service,ABC License Data
CIROS GOURMET PIZZA,CITRUS HEIGHTS,Sacramento,,7521 OLD AUBURN RD,Food Service,ABC License Data
CIROS PIZZA,FOLSOM,Sacramento,,1300 E BIDWELL #120,Food Service,ABC License Data
CITIZEN PUBLIC HOUSE,SACRAMENTO,Sacramento,,1201 J ST  STE 100,Food Service,ABC License Data
CITY FOOD & LIQUOR,SACRAMENTO,Sacramento,,7121 FRANKLIN BLVD,Food Service,ABC License Data
CITY LIQUOR & FOOD,SACRAMENTO,Sacramento,,7595 FRANKLIN BLVD,Food Service,ABC License Data
CITY MARKET,CITRUS HEIGHTS,Sacramento,,6825 GREENBACK LN,Food Service,ABC License Data
CLAY OVEN INDIAN CUISINE,ORANGEVALE,Sacramento,,8807 GREENBACK LN,Food Service,ABC License Data
CLUB 2 ME,SACRAMENTO,Sacramento,,4738 J ST,Food Service,ABC License Data
CLUB RAVEN,SACRAMENTO,Sacramento,,3246 J ST,Food Service,ABC License Data
CLUBHOUSE,CARMICHAEL,Sacramento,,5150 FAIR OAKS BLVD,Food Service,ABC License Data
CLUBHOUSE 56,SACRAMENTO,Sacramento,,723 56TH ST,Food Service,ABC License Data
CLUBHOUSE AT HERITAGE PARK,SACRAMENTO,Sacramento,,2481 HERITAGE PARK LN,Food Service,ABC License Data
CO DO DELI,SACRAMENTO,Sacramento,,6665 STOCKTON BLVD,Food Service,ABC License Data
COCOMILK CAFE,SACRAMENTO,Sacramento,,6519 SAVINGS PL,Restaurant,ABC License Data
COFFEE REPUBLIC,FOLSOM,Sacramento,,6610 FOLSOM AUBURN RD,Food Service,ABC License Data
COLOMA FOOD & LIQUOR,RANCHO CORDOVA,Sacramento,,11082 COLOMA RD,Food Service,ABC License Data
COMFORT MARKET,SACRAMENTO,Sacramento,,2800 RIO LINDA BLVD,Food Service,ABC License Data
COMPADRES GRILL & BAR,GALT,Sacramento,,10400 TWIN CITIES RD,Bar,ABC License Data
COMPADRES MARKET,GALT,Sacramento,,502 C ST,Food Service,ABC License Data
COMPLEX GRILL,SACRAMENTO,Sacramento,,3450 LONGVIEW DR,Food Service,ABC License Data
COMPTON HOLIDAY MARKET,SACRAMENTO,Sacramento,,4065 MCKINLEY BLVD,Food Service,ABC License Data
CON AZUCAR CAFE,SACRAMENTO,Sacramento,,630 K ST,Restaurant,ABC License Data
CORDELINA WINE COMPANY,GOLD RIVER,Sacramento,,11344 COLOMA RD,Food Service,ABC License Data
CORDOVA FOOD & LIQUOR,RANCHO CORDOVA,Sacramento,,10469 FOLSOM BLVD,Food Service,ABC License Data
CORDOVA KTV CAFE LLC,SACRAMENTO,Sacramento,,9721 FOLSOM BLVD,Restaurant,ABC License Data
CORIANDER VIETNAMESE RESTAURANT,SACRAMENTO,Sacramento,,1899 ALHAMBRA BLVD,Restaurant,ABC License Data
CORNER SPOT KARAOKE LECAFE,CITRUS HEIGHTS,Sacramento,,6432 TUPELO DR,Restaurant,ABC License Data
CORNER TAVERN & GRILL,FOLSOM,Sacramento,,700 GLENN DR,Bar,ABC License Data
CORNERSTONE REDLIGHT  REDLIGHT LOUNGE,SACRAMENTO,Sacramento,,2326 J ST,Bar,ABC License Data
CORTI BROS MARKET,SACRAMENTO,Sacramento,,5810 FOLSOM BLVD,Food Service,ABC License Data
COUNTRY CLUB CINEMA,SACRAMENTO,Sacramento,,2405 BUTANO DR,Food Service,ABC License Data
COURT LIQUOR,SACRAMENTO,Sacramento,,6225 FRANKLIN BLVD,Food Service,ABC License Data
COURTLAND MARKET,COURTLAND,Sacramento,,11711 RIVER RD,Food Service,ABC License Data
COZI WINES,CITRUS HEIGHTS,Sacramento,,8445 JONQUIL WAY,Food Service,ABC License Data
CRAB CITY RESTAURANT AND DESSERTS,SACRAMENTO,Sacramento,,7837 STOCKTON BLVD,Restaurant,ABC License Data
CRAZY SUSHI,ELK GROVE,Sacramento,,7419 LAGUNA BLVD,Food Service,ABC License Data
CREASIAN FUSION,ELK GROVE,Sacramento,,9163 E STOCKTON BLVD,Asian Restaurant,ABC License Data
CREOLE SOUL RESTAURANT & BAR OAKLAND,SACRAMENTO,Sacramento,,2026 BROADWAY,Bar,ABC License Data
