Business Name,City,County,Phone,Address,Business Type,Source,Notes
RIOS WINE COMPANY LLC,CALISTOGA,Napa,,3070 OLD LAWLEY TOLL RD,Food Service,ABC License,Independent
RIVERS-MARIE WINES,CALISTOGA,Napa,,900 FOOTHILL BLVD,Food Service,ABC License,Independent
RJS BOUTIQUE WINES LLC,CALISTOGA,Napa,,3190 HIGHWAY 128,Food Service,ABC License,Independent
ROB LAWSON WINES,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License,Independent
RUBIO FAMILY WINES  LLC,CALISTOGA,Napa,,4395 SCOTT WAY,Food Service,ABC License,Independent
SARAFORNIA CAFE INC,CALISTOGA,Napa,,1413 LINCOLN AVE,Restaurant,ABC License,Independent
SCARLETT WINES,CALISTOGA,Napa,,1251 TUBBS LN,Food Service,ABC License,Independent
SCULATTI WINE,CALISTOGA,Napa,,1124 LINCOLN AVE,Food Service,ABC License,Independent
SELAH WINES,CALISTOGA,Napa,,1127  MAPLE LN,Food Service,ABC License,Independent
SEPIA WINES  LLC,CALISTOGA,Napa,,817 LOMMEL RD,Food Service,ABC License,Independent
SILVER OAK WINE CELLARS,CALISTOGA,Napa,,1183 DUNAWEAL LN,Food Service,ABC License,Independent
SOLORIO FAMILY WINES,CALISTOGA,Napa,,2280 GREENWOOD AVE,Food Service,ABC License,Independent
SOMNIUM WINE COMPANY  LLC,CALISTOGA,Napa,,1307 LINCOLN AVE,Food Service,ABC License,Independent
STORMY WEATHER WINE LLC,CALISTOGA,Napa,,3750 SILVERADO TRL,Food Service,ABC License,Independent
STORYBOOK MOUNTAIN WINERY,CALISTOGA,Napa,,3835 STATE HIGHWAY 128,Food Service,ABC License,Independent
SUSHI MAMBO,CALISTOGA,Napa,,1631 LINCOLN AVE,Food Service,ABC License,Independent
SWANSON VINEYARDS AND WINERY,CALISTOGA,Napa,,1077 DUNAWEAL LN,Food Service,ABC License,Independent
T BERKLEY WINES,CALISTOGA,Napa,,4451 N ST HELENA HWY,Food Service,ABC License,Independent
T-VINE WINERY,CALISTOGA,Napa,,810 FOOTHILL BLVD,Food Service,ABC License,Independent
TANK GARAGE WINERY,CALISTOGA,Napa,,1020 FOOTHILL BLVD,Food Service,ABC License,Independent
TEACHWORTH WINERY,CALISTOGA,Napa,,4451 N ST HELENA HWY,Food Service,ABC License,Independent
TEDESCHI FAMILY WINERY,CALISTOGA,Napa,,2779 GRANT ST,Food Service,ABC License,Independent
TENUTA FOPPA & AMBROSI WINES  LLC,CALISTOGA,Napa,,1380 TUCKER RD,Food Service,ABC License,Independent
TOFANELLI WINES,CALISTOGA,Napa,,1212 PINE ST,Food Service,ABC License,Independent
TOM EDDY WINES,CALISTOGA,Napa,,3870 STATE HIGHWAY 128,Food Service,ABC License,Independent
TUMULT WINES,CALISTOGA,Napa,,8300 FRANZ VALLEY SCHOOL RD,Food Service,ABC License,Independent
UPPER VALLEY BARREL STORAGE,CALISTOGA,Napa,,3 IDA LN,Bar,ABC License,Independent
UPROOT WINES,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License,Independent
VENDING MACHINE WINERY  LLC,CALISTOGA,Napa,,1471 1ST ST,Food Service,ABC License,Independent
VICE VERSA WINES,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License,Independent
VINCENT ARROYO WINERY  INC.,CALISTOGA,Napa,,2361 GREENWOOD AVE,Food Service,ABC License,Independent
WEPPLER VINEYARDS & TEN KEY WINES,CALISTOGA,Napa,,2970 FOOTHILL BLVD,Food Service,ABC License,Independent
WINEXYZ  LLC,CALISTOGA,Napa,,1471 1ST ST,Food Service,ABC License,Independent
ZACHERLE WINES,CALISTOGA,Napa,,1501 CEDAR ST,Food Service,ABC License,Independent
INTENTUS FINE WINES LLC,DEER PARK,Napa,,1120 DEER PARK RD,Food Service,ABC License,Independent
THE SLUGGER WINE COMPANY,DEER PARK,Napa,,899 SANITARIUM RD,Food Service,ABC License,Independent
1 800 WINE SHOP,NAPA,Napa,,2545 NAPA VALLEY CORPORATE DR,Food Service,ABC License,Independent
8687 FAMILY WINE COMPANY,NAPA,Napa,,1201 DARMS LN,Food Service,ABC License,Independent
90 PLUS WINE CLUB LLC,NAPA,Napa,,121 CANYON DR,Food Service,ABC License,Independent
A 1 FOOD STORE,NAPA,Napa,,75 COOMBS ST,Food Service,ABC License,Independent
