Business Name,City,County,State,Phone,Address,Type,Source,Category
KENEFICK RANCHES WINERY,CALISTOGA,Napa,CA,,4550 SILVERADO TRL,Food Service,ABC License Data,ABC_LICENSE
KEYES WINE  LLC,CALISTOGA,Napa,CA,,1170 TUBBS LN,Food Service,ABC License Data,ABC_LICENSE
KNIGHTS BRIDGE WINERY,CALISTOGA,Napa,CA,,17134 SPENCER LN,Food Service,ABC License Data,ABC_LICENSE
KNIGHTS BRIDGE WINERY  LLC,CALISTOGA,Napa,CA,,17134 SPENCER LN,Food Service,ABC License Data,ABC_LICENSE
KOCHANA WINES,CALISTOGA,Napa,CA,,8289 FRANZ VALLEY SCHOOL RD,Food Service,ABC License Data,ABC_LICENSE
LA CORONA MARKET,CALISTOGA,Napa,CA,,1856 LINCOLN AVE,Food Service,ABC License Data,ABC_LICENSE
LA PRIMA PIZZA,CALISTOGA,Napa,CA,,1923 LAKE ST,Food Service,ABC License Data,ABC_LICENSE
LADERA WINERY,CALISTOGA,Napa,CA,,3942 SILVERADO TRL N,Food Service,ABC License Data,ABC_LICENSE
LAURA MICHAEL WINES,CALISTOGA,Napa,CA,,2250 LAKE COUNTY HWY,Food Service,ABC License Data,ABC_LICENSE
LAWER FAMILY WINERY INC,CALISTOGA,Napa,CA,,8910 FRANZ VALLEY SCHOOL RD,Food Service,ABC License Data,ABC_LICENSE
LAWER FAMILY WINES @ CALISTOGA FARMERS MARKET,CALISTOGA,Napa,CA,,1235 WASHINGTON ST,Food Service,ABC License Data,ABC_LICENSE
LOLA WINES,CALISTOGA,Napa,CA,,916 FOOTHILL BLVD,Food Service,ABC License Data,ABC_LICENSE
MACAULEY WINE CORPORATION,CALISTOGA,Napa,CA,,4708 SILVERADO TRAIL,Food Service,ABC License Data,ABC_LICENSE
MANDET WINES,CALISTOGA,Napa,CA,,1251 TUBBS LN,Food Service,ABC License Data,ABC_LICENSE
MARIA CONCETTO WINERY  INC.,CALISTOGA,Napa,CA,,1367 LINCOLN AVE,Food Service,ABC License Data,ABC_LICENSE
MARNET WINES,CALISTOGA,Napa,CA,,1572 CENTENNIAL CIR,Food Service,ABC License Data,ABC_LICENSE
MC WINES LLC,CALISTOGA,Napa,CA,,1170 TUBBS LN,Food Service,ABC License Data,ABC_LICENSE
MONTESQUIEU WINERY,CALISTOGA,Napa,CA,,4550 SILVERADO TRL,Food Service,ABC License Data,ABC_LICENSE
NEOTEMPO WINES,CALISTOGA,Napa,CA,,701 LOMMEL RD,Food Service,ABC License Data,ABC_LICENSE
NEXT DOOR WINE,CALISTOGA,Napa,CA,,3111 LAKE COUNTY HWY,Food Service,ABC License Data,ABC_LICENSE
NIMROD WINES  LLC,CALISTOGA,Napa,CA,,1471 1ST ST,Food Service,ABC License Data,ABC_LICENSE
NOAH RIVER WINES LLC,CALISTOGA,Napa,CA,,2450 FOOTHILL BLVD,Food Service,ABC License Data,ABC_LICENSE
OFF ROUTE WINE COMPANY LLC,CALISTOGA,Napa,CA,,1611 HARLEY ST,Food Service,ABC License Data,ABC_LICENSE
OTRA VEZ WINERY,CALISTOGA,Napa,CA,,2280 GREENWOOD AVE,Food Service,ABC License Data,ABC_LICENSE
PACIFICO RESTAURANTE MEXICANO,CALISTOGA,Napa,CA,,1237 LINCOLN AVE,Mexican Restaurant,ABC License Data,ABC_LICENSE
PALISADES WINE COMPANY,CALISTOGA,Napa,CA,,3130 OLD LAWLEY TOLL RD,Food Service,ABC License Data,ABC_LICENSE
PAOLETTI ESTATES WINERY,CALISTOGA,Napa,CA,,4501 SILVERADO TRL,Food Service,ABC License Data,ABC_LICENSE
PARADY FAMILY WINES,CALISTOGA,Napa,CA,,1124 LINCOLN AVE,Food Service,ABC License Data,ABC_LICENSE
PETER MICHAEL WINERY,CALISTOGA,Napa,CA,,12400 IDA CLAYTON RD,Food Service,ABC License Data,ABC_LICENSE
PHIFER PAVITT WINES,CALISTOGA,Napa,CA,,4660 SILVERADO TRL,Food Service,ABC License Data,ABC_LICENSE
PICKETT ACRE WINES,CALISTOGA,Napa,CA,,2395 PICKETT RD,Food Service,ABC License Data,ABC_LICENSE
PICKETT ROAD WINE COMPANY,CALISTOGA,Napa,CA,,2339 PICKETT RD,Food Service,ABC License Data,ABC_LICENSE
POGGI WINES  LLC,CALISTOGA,Napa,CA,,30 ROSEDALE RD,Food Service,ABC License Data,ABC_LICENSE
PUERTO VALLARTA MARKET,CALISTOGA,Napa,CA,,1009 FOOTHILL BLVD,Food Service,ABC License Data,ABC_LICENSE
PWR WINES,CALISTOGA,Napa,CA,,1311 PINE ST,Food Service,ABC License Data,ABC_LICENSE
RARECAT WINES,CALISTOGA,Napa,CA,,965 SILVERADO TRL,Food Service,ABC License Data,ABC_LICENSE
RESORT AT INDIAN SPRINGS LLC,CALISTOGA,Napa,CA,,1712 LINCOLN AVE,Food Service,ABC License Data,ABC_LICENSE
REVERIE WINERY,CALISTOGA,Napa,CA,,1520 DIAMOND MOUNTAIN RD,Food Service,ABC License Data,ABC_LICENSE
RIOS WINE COMPANY LLC,CALISTOGA,Napa,CA,,3070 OLD LAWLEY TOLL RD,Food Service,ABC License Data,ABC_LICENSE
RIVERS-MARIE WINES,CALISTOGA,Napa,CA,,900 FOOTHILL BLVD,Food Service,ABC License Data,ABC_LICENSE
RJS BOUTIQUE WINES LLC,CALISTOGA,Napa,CA,,3190 HIGHWAY 128,Food Service,ABC License Data,ABC_LICENSE
