Business Name,City,County,Phone,Address,Business Type,Source,Chain Status
CASA DOMINGUEZ WINES,CALISTOGA,Napa,,3070 OLD LAWLEY TOLL RD,Food Service,ABC License Data,INDEPENDENT
CLOS PEGASE WINERY,CALISTOGA,Napa,,1060 DUNAWEAL LN,Food Service,ABC License Data,INDEPENDENT
CRESTA VELIA WINES,CALISTOGA,Napa,,1413 EARL ST,Food Service,ABC License Data,INDEPENDENT
DEUTSCH FAMILY WINE & SPIRITS,CALISTOGA,Napa,,1077 DUNAWEAL LN,Food Service,ABC License Data,INDEPENDENT
DIAMOND MOUNTAIN WINERY,CALISTOGA,Napa,,2121 DIAMOND MOUNTAIN RD,Food Service,ABC License Data,INDEPENDENT
DOI DA WINES,CALISTOGA,Napa,,1251 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
ELUSA WINERY,CALISTOGA,Napa,,400 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
ENCROACHMENT WINES LLC,CALISTOGA,Napa,,4708 SILVERADO TRAIL,Food Service,ABC License Data,INDEPENDENT
ENVY WINES,CALISTOGA,Napa,,1170 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
FAST GAS & MINI MART 2,CALISTOGA,Napa,,1108 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
FIVE SENSES NAPA VALLEY - MODERN JAPANESE,CALISTOGA,Napa,,1227 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
FORTUNATE SON WINES,CALISTOGA,Napa,,3718 ST HELENA HWY N,Food Service,ABC License Data,INDEPENDENT
FTM WINE COMPANY LLC,CALISTOGA,Napa,,4300 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
FULTON FAMILY WINERY,CALISTOGA,Napa,,263 PETRIFIED FOREST RD,Food Service,ABC License Data,INDEPENDENT
GARNET CREEK WINERY,CALISTOGA,Napa,,2280 GREENWOOD AVE,Food Service,ABC License Data,INDEPENDENT
GIRARD WINERY,CALISTOGA,Napa,,1077 DUNAWEAL LN,Food Service,ABC License Data,INDEPENDENT
GLOBAL WINE,CALISTOGA,Napa,,3111 LAKE COUNTY HWY,Food Service,ABC License Data,INDEPENDENT
GLORIOUS REVOLUTION WINE,CALISTOGA,Napa,,4199 HEITZ WAY,Food Service,ABC License Data,INDEPENDENT
GRIEVE FAMILY WINES,CALISTOGA,Napa,,865 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
GROW WINES,CALISTOGA,Napa,,1599 LAKE ST,Food Service,ABC License Data,INDEPENDENT
HELENA VIEW JOHNSTON VINEYARDS WINERY,CALISTOGA,Napa,,3500 STATE HIGHWAY 128,Food Service,ABC License Data,INDEPENDENT
HINDSIGHT WINES  HINDSIGHT VINEYARDS,CALISTOGA,Napa,,2383 MORA AVE,Food Service,ABC License Data,INDEPENDENT
HINDSIGHTS WINES,CALISTOGA,Napa,,2383 MORA AVE,Food Service,ABC License Data,INDEPENDENT
HOBEL WINES,CALISTOGA,Napa,,1251 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
HONOR WINERY,CALISTOGA,Napa,,4550 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
HOURGLASS WINE COMPANY,CALISTOGA,Napa,,701 LOMMEL RD,Food Service,ABC License Data,INDEPENDENT
HYDRO GRILL,CALISTOGA,Napa,,1403 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
INIZI WINES,CALISTOGA,Napa,,1703 MAGGIE AVE,Food Service,ABC License Data,INDEPENDENT
JOSEPH CELLARS WINERY,CALISTOGA,Napa,,4455 SAINT HELENA HWY,Food Service,ABC License Data,INDEPENDENT
K.R. III NAPA WINES LLC,CALISTOGA,Napa,,3887 SILVERADO TRL N,Food Service,ABC License Data,INDEPENDENT
KAISER FAMILY WINERY  INC,CALISTOGA,Napa,,2280 GREENWOOD AVE,Food Service,ABC License Data,INDEPENDENT
KALM CELLARS @ CALISTOGA FARMERS MARKET,CALISTOGA,Napa,,1311 WASHINGTON ST,Food Service,ABC License Data,INDEPENDENT
KENEFICK RANCH WINERY,CALISTOGA,Napa,,2200 PICKETT RD,Food Service,ABC License Data,INDEPENDENT
KENEFICK RANCHES WINERY,CALISTOGA,Napa,,4550 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
KEYES WINE  LLC,CALISTOGA,Napa,,1170 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
KNIGHTS BRIDGE WINERY,CALISTOGA,Napa,,17134 SPENCER LN,Food Service,ABC License Data,INDEPENDENT
KNIGHTS BRIDGE WINERY  LLC,CALISTOGA,Napa,,17134 SPENCER LN,Food Service,ABC License Data,INDEPENDENT
KOCHANA WINES,CALISTOGA,Napa,,8289 FRANZ VALLEY SCHOOL RD,Food Service,ABC License Data,INDEPENDENT
LA CORONA MARKET,CALISTOGA,Napa,,1856 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
LA PRIMA PIZZA,CALISTOGA,Napa,,1923 LAKE ST,Food Service,ABC License Data,INDEPENDENT
LADERA WINERY,CALISTOGA,Napa,,3942 SILVERADO TRL N,Food Service,ABC License Data,INDEPENDENT
LAURA MICHAEL WINES,CALISTOGA,Napa,,2250 LAKE COUNTY HWY,Food Service,ABC License Data,INDEPENDENT
LAWER FAMILY WINERY INC,CALISTOGA,Napa,,8910 FRANZ VALLEY SCHOOL RD,Food Service,ABC License Data,INDEPENDENT
LAWER FAMILY WINES @ CALISTOGA FARMERS MARKET,CALISTOGA,Napa,,1235 WASHINGTON ST,Food Service,ABC License Data,INDEPENDENT
LOLA WINES,CALISTOGA,Napa,,916 FOOTHILL BLVD,Food Service,ABC License Data,INDEPENDENT
MACAULEY WINE CORPORATION,CALISTOGA,Napa,,4708 SILVERADO TRAIL,Food Service,ABC License Data,INDEPENDENT
MANDET WINES,CALISTOGA,Napa,,1251 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
MARIA CONCETTO WINERY  INC.,CALISTOGA,Napa,,1367 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
MARNET WINES,CALISTOGA,Napa,,1572 CENTENNIAL CIR,Food Service,ABC License Data,INDEPENDENT
MC WINES LLC,CALISTOGA,Napa,,1170 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
MONTESQUIEU WINERY,CALISTOGA,Napa,,4550 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
NEOTEMPO WINES,CALISTOGA,Napa,,701 LOMMEL RD,Food Service,ABC License Data,INDEPENDENT
NEXT DOOR WINE,CALISTOGA,Napa,,3111 LAKE COUNTY HWY,Food Service,ABC License Data,INDEPENDENT
NIMROD WINES  LLC,CALISTOGA,Napa,,1471 1ST ST,Food Service,ABC License Data,INDEPENDENT
NOAH RIVER WINES LLC,CALISTOGA,Napa,,2450 FOOTHILL BLVD,Food Service,ABC License Data,INDEPENDENT
OFF ROUTE WINE COMPANY LLC,CALISTOGA,Napa,,1611 HARLEY ST,Food Service,ABC License Data,INDEPENDENT
OTRA VEZ WINERY,CALISTOGA,Napa,,2280 GREENWOOD AVE,Food Service,ABC License Data,INDEPENDENT
PACIFICO RESTAURANTE MEXICANO,CALISTOGA,Napa,,1237 LINCOLN AVE,Mexican Restaurant,ABC License Data,INDEPENDENT
PALISADES WINE COMPANY,CALISTOGA,Napa,,3130 OLD LAWLEY TOLL RD,Food Service,ABC License Data,INDEPENDENT
PAOLETTI ESTATES WINERY,CALISTOGA,Napa,,4501 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
PARADY FAMILY WINES,CALISTOGA,Napa,,1124 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
PETER MICHAEL WINERY,CALISTOGA,Napa,,12400 IDA CLAYTON RD,Food Service,ABC License Data,INDEPENDENT
PHIFER PAVITT WINES,CALISTOGA,Napa,,4660 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
PICKETT ACRE WINES,CALISTOGA,Napa,,2395 PICKETT RD,Food Service,ABC License Data,INDEPENDENT
PICKETT ROAD WINE COMPANY,CALISTOGA,Napa,,2339 PICKETT RD,Food Service,ABC License Data,INDEPENDENT
POGGI WINES  LLC,CALISTOGA,Napa,,30 ROSEDALE RD,Food Service,ABC License Data,INDEPENDENT
PUERTO VALLARTA MARKET,CALISTOGA,Napa,,1009 FOOTHILL BLVD,Food Service,ABC License Data,INDEPENDENT
PWR WINES,CALISTOGA,Napa,,1311 PINE ST,Food Service,ABC License Data,INDEPENDENT
RARECAT WINES,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
