Business Name,City,County,Phone,Address,Business Type,Source,Chain Status
BLANCA'S MEAT MARKET,SACRAMENTO,Sacramento,,4827 RIO LINDA BLVD,Food Service,ABC License Data,INDEPENDENT
BLAZE PIZZA,GOLD RIVER,Sacramento,,2137 GOLDEN CENTRE LN,Food Service,ABC License Data,INDEPENDENT
BLOCK CRAFT BEER + KITCHEN,SACRAMENTO,Sacramento,,7485 RUSH RIVER DR,Food Service,ABC License Data,INDEPENDENT
BLUE AGAVE TAQUERIA & BAR,SACRAMENTO,Sacramento,,8785 CENTER PKWY,Bar,ABC License Data,INDEPENDENT
BLUE HOUSE RESTAURANT,SACRAMENTO,Sacramento,,1030 HOWE AVE,Restaurant,ABC License Data,INDEPENDENT
BLUE MOON CAFE,SACRAMENTO,Sacramento,,5000 FREEPORT BLVD,Restaurant,ABC License Data,INDEPENDENT
BLUE NAMI SUSHI AND SAKE HOUSE,ORANGEVALE,Sacramento,,8811 GREENBACK LN,Food Service,ABC License Data,INDEPENDENT
BLUE RAVINE RESTAURANT,FOLSOM,Sacramento,,25085 BLUE RAVINE RD,Restaurant,ABC License Data,INDEPENDENT
BLUE SKY CHINESE RESTAURANT,CARMICHAEL,Sacramento,,7323 FAIR OAKS BLVD,Restaurant,ABC License Data,INDEPENDENT
BOB'S CLUB,ELK GROVE,Sacramento,,9039 ELK GROVE BLVD,Food Service,ABC License Data,INDEPENDENT
BOLLYWOOD PIZZA,SACRAMENTO,Sacramento,,6601 FOLSOM BLVD,Food Service,ABC License Data,INDEPENDENT
BOLT BAR,SACRAMENTO,Sacramento,,2560 BOXWOOD ST,Bar,ABC License Data,INDEPENDENT
BOMBAY BAR AND GRILL,SACRAMENTO,Sacramento,,1313-1315 21ST ST,Bar,ABC License Data,INDEPENDENT
BON MUA RESTAURANT,SACRAMENTO,Sacramento,,6835 STOCKTON BLVD,Restaurant,ABC License Data,INDEPENDENT
BOND MARKET,ELK GROVE,Sacramento,,9165 ELK GROVE FLORIN RD,Food Service,ABC License Data,INDEPENDENT
BONFARE MARKET # 33,SACRAMENTO,Sacramento,,809 20TH ST,Food Service,ABC License Data,INDEPENDENT
BONFARE MARKET # 34,SACRAMENTO,Sacramento,,3100 BROADWAY,Food Service,ABC License Data,INDEPENDENT
BONFARE MARKET # 40,SACRAMENTO,Sacramento,,861 FULTON AVE,Food Service,ABC License Data,INDEPENDENT
BONFARE MARKET #33,SACRAMENTO,Sacramento,,809 20TH ST,Food Service,ABC License Data,INDEPENDENT
BONFARE MARKET 38,SACRAMENTO,Sacramento,,2600 RIO LINDA BLVD,Food Service,ABC License Data,INDEPENDENT
BOON DOX LIQUORS,WALNUT GROVE,Sacramento,,14175 RIVER RD,Food Service,ABC License Data,INDEPENDENT
BOTTLE & BARLOW,SACRAMENTO,Sacramento,,1120 R ST,Bar,ABC License Data,INDEPENDENT
BOWLING DRIVE FOOD & DELI,SACRAMENTO,Sacramento,,7076 BOWLING DR,Food Service,ABC License Data,INDEPENDENT
BOX BAR,SACRAMENTO,Sacramento,,9912 BUSINESS PARK DR,Bar,ABC License Data,INDEPENDENT
BRADLEY RANCH WINERY AND BREWERY,ELK GROVE,Sacramento,,11070 BRADLEY RANCH RD,Food Service,ABC License Data,INDEPENDENT
BRADSHAW RANCH GOLF COURSE INC,SACRAMENTO,Sacramento,,7350 BRADSHAW RD,Food Service,ABC License Data,INDEPENDENT
BRAHMA BAR AND GRILL,FAIR OAKS,Sacramento,,10239 FAIR OAKS BLVD,Bar,ABC License Data,INDEPENDENT
BRASSERIE DU MONDE  CAFE A COTE,SACRAMENTO,Sacramento,,1201 K ST,Restaurant,ABC License Data,INDEPENDENT
BRAVE HORSE WINERY,WILTON,Sacramento,,10437 & 10459 ALTA MESA ROAD,Food Service,ABC License Data,INDEPENDENT
BREWSTERS BAR & GRILL,GALT,Sacramento,,201 4TH ST,Bar,ABC License Data,INDEPENDENT
BRIANNAS MEXICAN RESTAURANT,SACRAMENTO,Sacramento,,9783 LINCOLN VILLAGE DR,Mexican Restaurant,ABC License Data,INDEPENDENT
BRICK HOUSE RESTAURANT,ELK GROVE,Sacramento,,9027 ELK GROVE BLVD,Restaurant,ABC License Data,INDEPENDENT
BROKEN GLASS WINES LLC,RIO VISTA,Sacramento,,190 PINE HILLS DR,Food Service,ABC License Data,INDEPENDENT
BROOKFIELDS RESTAURANT,RANCHO CORDOVA,Sacramento,,11135 FOLSOM BLVD,Restaurant,ABC License Data,INDEPENDENT
BROOKFIELDS RESTAURANT,SACRAMENTO,Sacramento,,4343 MADISON AVE,Restaurant,ABC License Data,INDEPENDENT
BROOKSIDE RESTAURANT & BAR,SACRAMENTO,Sacramento,,9819 HORN RD,Bar,ABC License Data,INDEPENDENT
BROS LIQUOR #2,SACRAMENTO,Sacramento,,3510 AUBURN BLVD,Food Service,ABC License Data,INDEPENDENT
BROS LIQUOR & MARKET,SACRAMENTO,Sacramento,,1838 AUBURN BLVD,Food Service,ABC License Data,INDEPENDENT
BROWNIES LOUNGE,SACRAMENTO,Sacramento,,5858 S LAND PARK DR,Bar,ABC License Data,INDEPENDENT
BUCK EATS LLC,FOLSOM,Sacramento,,250 PALLADIO PKWY STE 1339,Restaurant,ABC License Data,INDEPENDENT
BUCKHORN BBQ & GRILL,SACRAMENTO,Sacramento,,4720 FREEPORT BLVD,Food Service,ABC License Data,INDEPENDENT
BUCKHORN BBQ + GRILL,SACRAMENTO,Sacramento,,801 14TH ST,Food Service,ABC License Data,INDEPENDENT
BUCKHORN GRILL,SACRAMENTO,Sacramento,,400 HOWE AVE,Food Service,ABC License Data,INDEPENDENT
BUDDY'S SUPERMARKET,SACRAMENTO,Sacramento,,5984 14TH AVE,Food Service,ABC License Data,INDEPENDENT
BUFFALO WILD WINGS,CITRUS HEIGHTS,Sacramento,,6301 SUNRISE BLVD,Food Service,ABC License Data,INDEPENDENT
BUFFALO WILD WINGS,ELK GROVE,Sacramento,,7490 ELK GROVE BLVD,Food Service,ABC License Data,INDEPENDENT
BUFFALO WILD WINGS,SACRAMENTO,Sacramento,,2023 ARDEN WAY,Food Service,ABC License Data,INDEPENDENT
BUFFALO WILD WINGS #283,FOLSOM,Sacramento,,2759 E BIDWELL ST,Food Service,ABC License Data,INDEPENDENT
BUFFALO WILD WINGS #420,SACRAMENTO,Sacramento,,3600 N FREEWAY BLVD,Food Service,ABC License Data,INDEPENDENT
BULL TA BAR & KOREAN BBQ,SACRAMENTO,Sacramento,,8353 FOLSOM BLVD,Bar,ABC License Data,INDEPENDENT
BULL WINGS GRILL & BAR,ELK GROVE,Sacramento,,9625 E STOCKTON BLVD,Bar,ABC License Data,INDEPENDENT
BUMGARNER WINERY @ MIDTOWN CERTIFIED FARMER'S MARK,SACRAMENTO,Sacramento,,20TH STREET,Food Service,ABC License Data,INDEPENDENT
BURGER LOUNGE,SACRAMENTO,Sacramento,,405 K ST,Bar,ABC License Data,INDEPENDENT
BURGERIM,CARMICHAEL,Sacramento,,7423 FAIR OAKS BLVD,Food Service,ABC License Data,INDEPENDENT
BURGERS & BREW,SACRAMENTO,Sacramento,,1409 R ST,Food Service,ABC License Data,INDEPENDENT
BURNING BARREL BREWING AND SPIRITS,RANCHO CORDOVA,Sacramento,,2933 GOLD PAN CT,Bar,ABC License Data,INDEPENDENT
