Business Name,City,County,Phone,Address,Business Type,Source
ROB LAWSON WINES,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License Data
RUBIO FAMILY WINES  LLC,CALISTOGA,Napa,,4395 SCOTT WAY,Food Service,ABC License Data
SARAFORNIA CAFE INC,CALISTOGA,Napa,,1413 LINCOLN AVE,Restaurant,ABC License Data
SCARLETT WINES,CALISTOGA,Napa,,1251 TUBBS LN,Food Service,ABC License Data
SCULATTI WINE,CALISTOGA,Napa,,1124 LINCOLN AVE,Food Service,ABC License Data
SELAH WINES,CALISTOGA,Napa,,1127  MAPLE LN,Food Service,ABC License Data
SEPIA WINES  LLC,CALISTOGA,Napa,,817 LOMMEL RD,Food Service,ABC License Data
SILVER OAK WINE CELLARS,CALISTOGA,Napa,,1183 DUNAWEAL LN,Food Service,ABC License Data
SOLORIO FAMILY WINES,CALISTOGA,Napa,,2280 GREENWOOD AVE,Food Service,ABC License Data
SOMNIUM WINE COMPANY  LLC,CALISTOGA,Napa,,1307 LINCOLN AVE,Food Service,ABC License Data
STORMY WEATHER WINE LLC,CALISTOGA,Napa,,3750 SILVERADO TRL,Food Service,ABC License Data
STORYBOOK MOUNTAIN WINERY,CALISTOGA,Napa,,3835 STATE HIGHWAY 128,Food Service,ABC License Data
SUSHI MAMBO,CALISTOGA,Napa,,1631 LINCOLN AVE,Food Service,ABC License Data
SWANSON VINEYARDS AND WINERY,CALISTOGA,Napa,,1077 DUNAWEAL LN,Food Service,ABC License Data
T BERKLEY WINES,CALISTOGA,Napa,,4451 N ST HELENA HWY,Food Service,ABC License Data
T-VINE WINERY,CALISTOGA,Napa,,810 FOOTHILL BLVD,Food Service,ABC License Data
TANK GARAGE WINERY,CALISTOGA,Napa,,1020 FOOTHILL BLVD,Food Service,ABC License Data
TEACHWORTH WINERY,CALISTOGA,Napa,,4451 N ST HELENA HWY,Food Service,ABC License Data
TEDESCHI FAMILY WINERY,CALISTOGA,Napa,,2779 GRANT ST,Food Service,ABC License Data
TENUTA FOPPA & AMBROSI WINES  LLC,CALISTOGA,Napa,,1380 TUCKER RD,Food Service,ABC License Data
TOFANELLI WINES,CALISTOGA,Napa,,1212 PINE ST,Food Service,ABC License Data
TOM EDDY WINES,CALISTOGA,Napa,,3870 STATE HIGHWAY 128,Food Service,ABC License Data
TUMULT WINES,CALISTOGA,Napa,,8300 FRANZ VALLEY SCHOOL RD,Food Service,ABC License Data
UPPER VALLEY BARREL STORAGE,CALISTOGA,Napa,,3 IDA LN,Bar,ABC License Data
UPROOT WINES,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License Data
VENDING MACHINE WINERY  LLC,CALISTOGA,Napa,,1471 1ST ST,Food Service,ABC License Data
VICE VERSA WINES,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License Data
VINCENT ARROYO WINERY  INC.,CALISTOGA,Napa,,2361 GREENWOOD AVE,Food Service,ABC License Data
WEPPLER VINEYARDS & TEN KEY WINES,CALISTOGA,Napa,,2970 FOOTHILL BLVD,Food Service,ABC License Data
WINEXYZ  LLC,CALISTOGA,Napa,,1471 1ST ST,Food Service,ABC License Data
ZACHERLE WINES,CALISTOGA,Napa,,1501 CEDAR ST,Food Service,ABC License Data
INTENTUS FINE WINES LLC,DEER PARK,Napa,,1120 DEER PARK RD,Food Service,ABC License Data
THE SLUGGER WINE COMPANY,DEER PARK,Napa,,899 SANITARIUM RD,Food Service,ABC License Data
1 800 WINE SHOP,NAPA,Napa,,2545 NAPA VALLEY CORPORATE DR,Food Service,ABC License Data
8687 FAMILY WINE COMPANY,NAPA,Napa,,1201 DARMS LN,Food Service,ABC License Data
90 PLUS WINE CLUB LLC,NAPA,Napa,,121 CANYON DR,Food Service,ABC License Data
A 1 FOOD STORE,NAPA,Napa,,75 COOMBS ST,Food Service,ABC License Data
A FAUSTINI WINES,NAPA,Napa,,5055 SOLANO AVE,Food Service,ABC License Data
ACCASBEL WINES,NAPA,Napa,,2405 LAUREL ST,Food Service,ABC License Data
